1,ホワイトゴールドピアス,,900,1,1,1,1,1,,174,1,1
2,ニットワンピ,,3700,2,1,2,2,2,1,175,2,2
3,レザー ショルダーバッグ,,1600,3,1,3,3,3,,176,,3
4,ベージュ チェスターコート,,1400,4,1,1,4,4,2,177,,4
5,ケイトスペード トレンチコート,,2580,5,1,2,1,5,,178,,5
6,パンプス ベージュx黒,,1800,6,2,3,2,1,3,288,,6
7,ニット ロングスカート,,3600,1,2,1,3,2,,300,,10
8,レディース ビジューカットソー,,25000,2,2,2,4,3,4,400,,20
9,オーシバル バスクシャツ,,2999,3,2,3,1,4,,500,,30
10,リボン付きブラウス,,5500,4,2,1,2,5,5,600,,40
11,ねこちゃんネックレス,,400,4,2,1,2,5,5,285,,25
12,チェックガウチョパンツ,,35000,4,2,1,2,5,5,286,,25
13,ブルゾン ライダース,,7000,4,2,1,2,5,5,287,,25
14,マキシワンピ,,2980,4,2,1,2,5,5,288,,25
15,英国風チェック柄 長財布,,990,4,2,1,2,5,5,289,,25
16,【デッドストック】バレエシューズ,,5400,4,2,1,2,5,5,290,,25
17,ゆるふわカーディガン,,19000,4,2,1,2,5,5,261,,25
18,北欧系きれいめシャツ,,65000,4,2,1,2,5,5,262,,25
19,細見え セットアップ,,800000,4,2,1,2,5,5,263,,25
20,アンゴラ混ウールコート13号,,13500,4,2,1,2,5,5,264,,25